岗位名称,企业名称,最低薪资,最高薪资,工作城市,工作区域,工作街道,学历要求,工作年限要求,企业规模,企业性质,工作类型,岗位发布时间,岗位要求,source,js 有深度学习，机器学习，搜索，推荐等算法经验优先。 任职要求,任意一种计算机语言都可以～都在招哦～全国多个城市在招,偶尔加班若加班一天工作时间不超过10小时， 具体时间以项目告知为准 4.能一周左右入职 5.工作地点,善于寻求资源解决问题;对工作的熟悉度提升后，有自己创新的想法。表现出解决复杂问题的能力。6.可独立领导跨组的项目;在专业方面可以指导和培养新员工任职条件,工作稳定。入职即签合同，六险一金，社保全额，有带教！地点:北京 上海 杭州 苏州 南京 成都 武汉 西安 深圳 东莞全程线上面试，下午茶齐全，夜宵备好，城际班车。硬件开发/嵌入式开发/AI/算法/通用软件开发测试等都有职位。java/c/++/python/测试/GO/前端职位描述,开展后端服务的设计、开发、测试等工作；3、根据实际业务需求，完成各类设计文档、分析报告、ppt等材料的部分内容；4、根据部门领导安排的其他工作任务。 岗位要求,程序设计；3.根据设计文档或需求说明完成代码编写，调试，测试和维护；4.分析并解决软件开发过程中的问题；5.协助测试工程师制定测试计划，定位发现的问题；6.配合项目经理完成相关任务目标。任职要求,能提出优化建议。二、 任职要求,负责对应模块的需求管理；2、完成所负责模块的详细设计和接口设计； 3、负责分配到的开发任务或项目的进度控制；4、负责开发过程中异常情况的检核、报告、追踪和改善；5、负责自己开发的功能点的单元测试工作，并确保功能点品质。任职要求
JAVA开发工程师,中软国际,0,0,成都,郫都,犀浦,本科,3-5年,10000人以上,上市公司,全职,2025-07-09 17:37:06,岗位职责: 1、java基础扎实，基本的数据结构要能灵活应用，多线程要能灵活应用； 2、会一些设计模式，熟悉Spring框架，springboot要有使用经验，mysql数据库熟练应用，能优化sql语句； 必备技能: 熟悉JAVA语言、spring boot。,Boss直聘,,,,,,,,,
Java开发工程师,外企德科数字技术有限公司,12001,24000,成都,郫都,合作街道,本科,经验不限,10000人以上,合资,全职,2025-07-10 00:27:07,工作职责：1、负责应用软件开发和维护工作。2、负责软件模块需求分析、系核心模块代码编写和单元测试，完成概要设计文档、详细设计文档。3、积极主动的与项目相关人员沟通交流，持续改善产品体验。业务技能要求：1、熟练掌握常用数据结构。2、熟悉计算机组成原理、操作系统、网络等。岗位要求：1.本科及以上学历；2.热爱编程，基础扎实，熟悉掌握但不限于Java、C/C++、GO、Python、JS等1种或多种主流...,Boss直聘,,,,,,,,,
java开发工程师,四川中淘科技集团有限公司,13001,18000,成都,金牛,营门口,本科,3-5年,300-499人,民营,全职,2025-07-09 18:15:10,Java开发工程师 【岗位职责】1、负责公司自研产品线的开发，参与产品的沟通、设计、研发；有较大型电商网站开发经验和app开发经验。2、参与需求沟通与分析，负责详细设计、编码、代码Review、生产调优、故障排除等工作；3、参与新技术的研究，能够独立快速完成技术预研、实施上线；4、完成公司制定项目的交付，并保证稳定上线。【任职需求】1、3年及以上Java开发经验，至少主导过一个分布式应用从设计、开...,Boss直聘,,,,,,,,,
Java开发（中间件项目研发）,德科信息有限公司,16001,19000,成都,锦江,柳江,本科,5-10年,1000-9999人,民营,全职,2025-07-09 18:44:04,【岗位要求】1、计算机科学、软件工程等相关专业，本科及以上学历，5年以上软件开发经验，其中有2年及以上消息中间件开发经验。2、深入理解消息中间件的原理和机制，熟悉 RocketMQ、Kafka、RabbitMQ、等至少一种主流开源消息中间件的架构、源码和应用场景，有实际使用、开发、优化经验者优先。3、熟悉 Linux 操作系统，具备熟练的 Linux 命令操作能力，能够在 Linux 环境下进行开...,Boss直聘,,,,,,,,,
Java开发工程师,四川准则信息技术有限公司,8001,12000,成都,武侯,桂溪,本科,1-3年,20-99人,民营,全职,2025-07-09 18:11:07,岗位职责： 1、在开发项目经理的带领下完成开发任务，保证开发项目的交付的进度和质量；2、参与项目功能设计与业务流程设计、程序设计；3、参与前后端对接技术方案和接口设计；4、根据设计文档或需求说明高质量完成代码编写、调试；5、参与运维期项目问题处理与代码维护升级；6、配合测试岗完成项目测试和 bug 处理工作；7、接受项目经理安排的其他工作。 职位要求： 1、计算机或者软件开发相关专业优先，具备良好...,Boss直聘,,,,,,,,,
高级java开发经理,天源迪科,12001,18000,成都,武侯,红牌楼,本科,5-10年,1000-9999人,民营,全职,2025-07-09 16:12:10,岗位职责： 1、参与需求沟通，将业务需求转化为技术方案，完成系统设计； 2、主导核心功能模块开发，解决技术难点，确保代码质量和性能优化； 3、协助技术总监处理项目开发、交付阶段所需其他事务。 任职要求： 1、计算机相关专业本科及以上学历:5年以上Java开发工作经验； 2、具备需求分析经验，能快速理解客户痛点并提出解决方案； 3、掌握设计模式，能独立完成系统架构图和软件模块设计，主导过至少2个不同...,Boss直聘,,,,,,,,,
java开发工程师,株式会社GSD,22001,40000,成都,武侯,桂溪,学历不限,经验不限,100-299人,外商独资,全职,2025-07-09 16:46:42,岗位职责：1.独立担当项目中的开发工作；2.按时完成现场PM/客户的工作要求；3.可以从基本设计/详细设计开始；4.保证项目开发成果物的品质。 应聘条件：1.2年以上软件开发经验，有对日/在日项目经验，至少熟练掌握一种开发语言；2.有在日IT从业经历/日本留学经历者优先；3.为人积极向上，持续学习，对行业发展、技术创新有热情，适应高速增长、需求不断更新迭代的业务环境；4.本科及以上学历，计算机等相...,Boss直聘,,,,,,,,,
JAVA开发-成都-现场面试,深圳市法本信息技术股份有限公司,15001,16000,成都,锦江,春熙路,本科,3-5年,1000-9999人,上市公司,全职,2025-07-09 16:13:27,1、java相关工作经验5年及以上2、熟悉数据库开发，有存储过程开发经验优先，有高斯数据库存储过程使用经验优先3、有复杂项目经验，非单一demo或者APP简单程序项目，承担较大项目核心开发工作。有开发组长、经理相关经验优先2、有定时任务开发和相关项目经验优先3、有项目重构，项目架构升级更换优先5、有银行、金融保险行业工作经验优先，有财务系统相关经验优先7、有sql调优，做过公共组件开发有一定设计模...,Boss直聘,,,,,,,,,
Java开发工程师,软通动力信息技术(集团)股份有限公司,11001,14000,成都,武侯,桂溪,本科,3-5年,10000人以上,民营,全职,2025-07-09 16:14:21,1、扎实的编程基础：熟练使用至少一门编程语言，能够独立完成代码编写、调试和优化； 2、熟悉常用的开发工具和框架：如Eclipse、IntelliJ IDEA、Spring、Hibernate，mybatis、ibatis等； 3、熟悉一种或多种常用的数据库：如mysql、gaussdb、mongodb、postgres、sql server等，能够独立完成数据库设计、优化和维护； 4、熟悉软件开发...,Boss直聘,,,,,,,,,
java开发工程师（四川绵阳办公）,成都之行文华艺术设计有限公司,12001,18000,成都,武侯,桂溪,大专,3-5年,20-99人,民营,全职,2025-07-09 15:59:15,四川绵阳驻场，包住宿，6个月短期岗位，看项目情况续签，12-18K面试定薪四川绵阳驻场，包住宿，6个月短期岗位，看项目情况续签，12-18K面试定薪四川绵阳驻场，包住宿，6个月短期岗位，看项目情况续签，12-18K面试定薪岗位职责：1.负责项目核心功能开发，确保其高效、可扩展和可靠。2.与开发团队紧密合作，提供技术指导并解决技术难题。3.参与代码审查，确保代码质量符合公司标准。4.负责性能优化和故...,Boss直聘,,,,,,,,,
Java开发工程师（成都）,杭州明讯软件技术有限公司,8001,10000,成都,双流,华阳,大专,3-5年,300-499人,民营,全职,2025-07-09 09:51:19,岗位职责：业务、接口和数据库等全部后端设计开发内容岗位要求：1、计算机相关专业专科以上学历，3年以上相关工作经验；2、扎实的Java web编程基础，熟练掌握 Spring、SpringMVC、Mybatis框架，及SSM框架的搭建；3、熟悉Linux环境、Tomcat， Nginx等开源的服务器的操作，熟悉MySQL,Boss直聘,,,,,,,,,
Java开发工程师,成都慢游科技有限公司,7001,10000,成都,青羊,草市街,本科,1-3年,20-99人,民营,全职,2025-07-09 10:13:05,岗位职责： 1、在项目负责人、高级工程师的带领下定期完成量化的工作； 2、能独立处理和解决所负责的任务； 3、根据开发进度和任务分配，完成相应模块的开发、编程任务； 4、进行程序单元、功能的测试，查出软件存在的缺陷并保证其质量； 5、进行编制项目文档和质量记录的工作； 技能要求： 1、计算机或软件工程及相关专业本科以上学历，Java开发经验1-3年 2、需有微服务（SpringCloud）实际项目...,Boss直聘,,,,,,,,,
Java开发工程师（初中高级均有岗位）,外企德科数字技术有限公司,14001,28000,成都,郫都,合作街道,本科,经验不限,10000人以上,合资,全职,2025-07-09 00:23:01,【岗位要求】1、统招四年制本科/硕士，毕业证学位证齐全2、3年以内/3-5年/5年以上Java开发工作经验；3、熟悉SpringBoot/MyBatis框架，掌握MySQL基础应用；4、具备基础Linux操作能力，了解Git版本管理工具。注：初级岗位优秀的应届可以接受工作经验【岗位职责】1、负责核心业务模块开发，独立完成功能设计及代码实现2、维护现有系统，优化代码质量与系统性能3、参与技术方案讨论...,Boss直聘,,,,,,,,,
Java开发工程师,杭州明讯软件技术有限公司,7001,10000,成都,双流,华阳,大专,3-5年,300-499人,民营,全职,2025-07-09 09:54:56,岗位职责：业务、接口和数据库等全部后端设计开发内容岗位要求：1、统招大专及以上学历，学信网可查。3年以上相关工作经验；2、扎实的Java web编程基础，熟练掌握 Spring、SpringMVC、Mybatis框架，及SSM框架的搭建；3、熟悉Linux环境、Tomcat， Nginx等开源的服务器的操作，熟悉MySQL,Boss直聘,,,,,,,,,
java开发工程师,民航成都电子技术有限责任公司,10001,15000,成都,新津,普兴,硕士,3-5年,500-999人,国企,全职,2025-07-09 00:04:40,岗位职责： 1.负责完成详细设计及其它技术文档编写； 2.负责系统分析与设计，并负责完成核心代码； 3.根据开发规范与流程独立完成模块的设计、编码、测试以及相关文档，按时保质保量输出相关工作成果，工作成果需满足公司相关质量标准； 4.对系统的持续优化工作，并及时响应解决系统故障； 5.参与开发产品或项目上的其他工作。 任职要求： 1.硕士学历，计算机或相关专业，具有3年及以上的J2EE项目开发经验...,Boss直聘,,,,,,,,,
Java开发工程师（驻场浦发）,赞同科技股份有限公司,8001,13000,成都,成华,跳蹬河,本科,3-5年,1000-9999人,民营,全职,2025-07-09 00:43:02,初中级Java 现场面试 1、全日制本科，有2年以上工作经验 3、熟悉java语言 3、熟悉数据库的基本操作4.银行 金融相关优先,Boss直聘,,,,,,,,,
Java开发-长期项目-双休,软通动力信息技术(集团)股份有限公司,10001,12000,成都,双流,华阳,本科,3-5年,10000人以上,民营,全职,2025-07-08 20:21:24,1、熟悉常用的开发工具和框架：如Eclipse、IntelliJ IDEA、Spring、Hibernate，mybatis、ibatis等；2、熟悉一种或多种常用的数据库：如mysql、gaussdb、mongodb、postgres、sql server等，能够独立完成数据库设计、优化和维护；3、学信网本科3年。,Boss直聘,,,,,,,,,
JAVA开发工程师,成都汇码科技有限公司,9001,12000,成都,金牛,茶店子,大专,5-10年,20-99人,民营,全职,2025-07-08 17:22:34,岗位要求：1、精通JAVA开发，有扎实的软件理论基础，深刻理解面向对象编程，良好的面向对象分析设计能力；2、精通J2EE主流技术框架，对Spring Boot/Cloud/Mybatis等开源框架有实际应用经验，精通关系型数据库及SQL语言，熟悉NoSQL/JSON/XML；3、熟悉RocketMQ、Redis等中间件，熟悉数据库及中间件主从和集群机制，熟悉数据同步机制；4、熟悉Linux及Doc...,Boss直聘,,,,,,,,,
